date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:04	38536/38536	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673379a7-9688%22	https://ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:05	1714/1714	---M--	200	added ('OK')	image/png	etag:%2266496def-6e1%22	https://templates.hibootstrap.com/sanu/default/assets/images/logo.png	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/logo.png	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:05	1689/1689	---M--	200	added ('OK')	image/png	etag:%2266496def-6c7%22	https://templates.hibootstrap.com/sanu/default/assets/images/white-logo.png	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/images/white-logo.png	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:05	74408/74408	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/index.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/index.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:06	85765/85765	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/index-3.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/index-3.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:06	84503/84503	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/index-4.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/index-4.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:06	88965/88965	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/index-5.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/index-5.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:07	37541/37541	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/academics-details.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/academics-details.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:07	41158/41158	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/latest-news.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/latest-news.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:07	44000/44000	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/news-details.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/news-details.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:07	36244/36244	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/faq.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/faq.html	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
